Ticker,Date,Open,High,Low,Close,Adj Close,Volume
ABNB,1/18/2022,156.910004,160.789993,153.869995,154.690002,154.690002,5775400
ABNB,1/19/2022,157,160.229996,154.440002,154.580002,154.580002,5127400
ABNB,1/20/2022,157.807999,165.199997,157.350006,158,158,4941900
ABNB,1/21/2022,156.815002,160.199997,152.410004,156.729996,156.729996,7242300
ABNB,1/24/2022,150,151.160004,135.759995,147.899994,147.899994,14606600
ABNB,1/25/2022,143.899994,147.380005,140.130005,144.559998,144.559998,5704900
ABNB,1/26/2022,149.285004,152.399994,140.041,142.139999,142.139999,6990300
ABNB,1/27/2022,143.479996,145.548004,137.919998,138.410004,138.410004,4493800
ABNB,1/28/2022,138.544998,143.110001,134.373993,142.770004,142.770004,5604400
ABNB,1/31/2022,144.802994,153.970001,143.809998,153.970001,153.970001,5463000
ABNB,2/1/2022,155.350006,157.389999,152.5,156.940002,156.940002,3799300
ABNB,2/2/2022,156.313004,156.509995,150.712006,151.759995,151.759995,3678300
ABNB,2/3/2022,147.970001,152.179993,146.679993,149.570007,149.570007,4577100
ABNB,2/4/2022,150.139999,157.240005,150,155.559998,155.559998,4687700
ABNB,2/7/2022,156.789993,160.880005,155.949997,157.910004,157.910004,4690700
ABNB,2/8/2022,154,163.078995,153.440002,162.259995,162.259995,4309100
ABNB,2/9/2022,165.369995,170.070007,165.080002,169.529999,169.529999,4868300
ABNB,2/10/2022,165.244995,177.059998,165.244995,171.949997,171.949997,8261400
ABNB,2/11/2022,175.309006,176.740005,164.830002,166.529999,166.529999,6464400
ABNB,2/14/2022,166.630005,171.800003,165.029999,169.660004,169.660004,4847600
ABNB,2/15/2022,172.919998,180.632004,172.75,180.070007,180.070007,11733900
ABNB,2/16/2022,178.294998,191.729996,178,186.639999,186.639999,22252900
ABNB,2/17/2022,184.899994,188.979996,181.539993,183.600006,183.600006,7779200
ABNB,2/18/2022,180.259995,182.660004,173.619995,174.899994,174.899994,8848800
ABNB,2/22/2022,172.130005,176.380005,161.320007,165.240005,165.240005,8392600
ABNB,2/23/2022,165.929993,166.654999,149.850006,150.039993,150.039993,9778500
ABNB,2/24/2022,141.300003,158.960007,141.179993,158.259995,158.259995,10354600
ABNB,2/25/2022,159.259995,159.449997,152.910004,155.089996,155.089996,6173200
ABNB,2/28/2022,155.024994,155.095993,148.300003,151.490005,151.490005,11078500
ABNB,3/1/2022,150.529999,154.220001,149.949997,151.009995,151.009995,5165800
ABNB,3/2/2022,152.479996,158.080002,151.889999,157.529999,157.529999,5028300
ABNB,3/3/2022,158.330002,159.220001,150.990005,151.690002,151.690002,4045800
ABNB,3/4/2022,150.770004,151.889999,140.460007,142.699997,142.699997,8390800
ABNB,3/7/2022,145,145.270004,131.520004,131.589996,131.589996,9177300
ABNB,3/8/2022,131.630005,144.470001,131.5,142.130005,142.130005,9587000
ABNB,3/9/2022,145.429993,150.990005,145.330002,148.309998,148.309998,7023900
ABNB,3/10/2022,145.220001,152.889999,144.408997,151.800003,151.800003,5302500
ABNB,3/11/2022,154.130005,155,145,145.139999,145.139999,4577300
ABNB,3/14/2022,143.410004,144.669998,136.039993,138.5,138.5,6330200
ABNB,3/15/2022,140,144.729996,138.320007,143.949997,143.949997,5488700
ABNB,3/16/2022,148.145004,156.979996,146.309998,155.75,155.75,7105400
ABNB,3/17/2022,153.789993,157.600006,151.050003,157.550003,157.550003,5031700
ABNB,3/18/2022,156.070007,167.179993,155.699997,167,167,8467500
ABNB,3/21/2022,164.570007,165.949997,159,161.800003,161.800003,4584400
ABNB,3/22/2022,163.610001,168.175003,162,166.440002,166.440002,4099900
ABNB,3/23/2022,163.639999,166.889999,162.880005,164.160004,164.160004,2814300
ABNB,3/24/2022,164.809998,171,162.667999,170.830002,170.830002,4223500
ABNB,3/25/2022,169.940002,170.610001,164.134003,167.220001,167.220001,2952300
ABNB,3/28/2022,167.220001,168.718994,162.429993,167.649994,167.649994,3829800
ABNB,3/29/2022,172.110001,178.880005,171.809998,175.520004,175.520004,5452800
ABNB,3/30/2022,173.130997,176.820007,172.020004,173.630005,173.630005,3707400
ABNB,3/31/2022,173.539993,176.149994,171.164001,171.759995,171.759995,3232200
ABNB,4/1/2022,173.059998,177.940002,172.229996,173.070007,173.070007,3644900
ABNB,4/4/2022,175.020004,177.020004,172.585007,177.020004,177.020004,3495700
ABNB,4/5/2022,177.190002,179.089996,170.119995,171.210007,171.210007,4065000
ABNB,4/6/2022,167.050003,168.770004,161.580002,164.660004,164.660004,4287700
ABNB,4/7/2022,163.190002,167.860001,161.710007,165.910004,165.910004,4146600
ABNB,4/8/2022,162.520004,164.899994,159.350006,162.559998,162.559998,3448400
ABNB,4/11/2022,159.839996,163.570007,157.410004,160.25,160.25,3877200
ABNB,4/12/2022,163.699997,166.110001,157.279999,160.110001,160.110001,4113000
ABNB,4/13/2022,160.839996,172.960007,160.649994,171.850006,171.850006,7211900
ABNB,4/14/2022,171.660004,174.639999,170.294998,170.699997,170.699997,5125100
ABNB,4/18/2022,169.270004,170.119995,164.350006,165.740005,165.740005,3339900
ABNB,4/19/2022,165.740005,170.820007,165.710007,170.119995,170.119995,2857100
ABNB,4/20/2022,172.610001,172.610001,164.309998,164.550003,164.550003,3997900
ABNB,4/21/2022,168.979996,170.929993,156.679993,157.910004,157.910004,4714600
ABNB,4/22/2022,157.839996,161.669998,154.779999,156.089996,156.089996,3863400
ABNB,4/25/2022,154.330002,159.789993,152.100006,158.389999,158.389999,3868100
ABNB,4/26/2022,158.399994,159.199997,152.800003,153.039993,153.039993,4075000
ABNB,4/27/2022,153.820007,157.300003,150.440002,152.229996,152.229996,4826000
ABNB,4/28/2022,154.009995,161.255005,153.660004,159.740005,159.740005,4854500
ABNB,4/29/2022,158.880005,163.240005,153,153.210007,153.210007,4033100
ABNB,5/2/2022,153.210007,155.130005,147.210999,152.779999,152.779999,5945300
ABNB,5/3/2022,154.089996,154.490005,141.580002,145,145,16774700
ABNB,5/4/2022,152.550003,158.740005,145.871994,156.179993,156.179993,20598100
ABNB,5/5/2022,152.190002,153.880005,140.858002,143.089996,143.089996,11367200
ABNB,5/6/2022,142.699997,143.110001,133.039993,135.839996,135.839996,9573100
ABNB,5/9/2022,131.759995,131.884995,118.830002,119.370003,119.370003,14430900
ABNB,5/10/2022,122.949997,123.459999,113.529999,116.129997,116.129997,13638500
ABNB,5/11/2022,114.529999,123.769997,112.366997,116.150002,116.150002,13661400
